id_transaccion,fecha,producto,cantidad,precio_unitario,pais
101,2026-06-01,Laptop,1,1200.50,MX
102,2026-06-01,Mouse,3,25.00,AR
103,2026-06-02,Teclado,2,45.00,CO
104,2026-06-02,Monitor,1,300.00,MX
105,2026-06-03,Laptop,2,1200.50,CL
101,2026-06-01,Laptop,1,1200.50,MX
102,2026-06-01,Mouse,3,25.00,AR
103,2026-06-02,Teclado,2,45.00,CO
104,2026-06-02,Monitor,1,300.00,MX
105,2026-06-03,Laptop,2,1200.50,CL
101,2026-06-01,Laptop,1,1200.50,MX
102,2026-06-01,Mouse,3,25.00,AR
103,2026-06-02,Teclado,2,45.00,CO
104,2026-06-02,Monitor,1,300.00,MX
105,2026-06-03,Laptop,2,1200.50,CL
101,2026-06-01,Laptop,1,1200.50,MX
102,2026-06-01,Mouse,3,25.00,AR
103,2026-06-02,Teclado,2,45.00,CO
104,2026-06-02,Monitor,1,300.00,MX
105,2026-06-03,Laptop,2,1200.50,CL
